Şehir;Üniversite;Tür
Adana;Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi;Devlet
Adana;Çukurova Üniversitesi;Devlet
Adıyaman;Adıyaman Üniversitesi;Devlet
Afyonkarahisar;Afyon Kocatepe Üniversitesi;Devlet
Afyonkarahisar;Afyonkarahisar Sağlık Bilimleri Üniversitesi;Devlet
Ağrı;Ağrı İbrahim Çeçen Üniversitesi;Devlet
Aksaray;Aksaray Üniversitesi;Devlet
Amasya;Amasya Üniversitesi;Devlet
Ankara;Jandarma ve Sahil Güvenlik Akademisi (Askerî);Devlet
Ankara;Ankara Üniversitesi;Devlet
Ankara;Ankara Müzik ve Güzel Sanatlar Üniversitesi;Devlet
Ankara;Ankara Hacı Bayram Veli Üniversitesi;Devlet
Ankara;Ankara Sosyal Bilimler Üniversitesi;Devlet
Ankara;Gazi Üniversitesi;Devlet
Ankara;Hacettepe Üniversitesi;Devlet
Ankara;Orta Doğu Teknik Üniversitesi;Devlet
Ankara;Ankara Yıldırım Beyazıt Üniversitesi;Devlet
Ankara;Polis Akademisi;Devlet
Ankara;Ankara Bilim Üniversitesi;Vakıf
Ankara;Ankara Medipol Üniversitesi;Vakıf
Ankara;Atılım Üniversitesi;Vakıf
Ankara;Başkent Üniversitesi;Vakıf
Ankara;Çankaya Üniversitesi;Vakıf
Ankara;İhsan Doğramacı Bilkent Üniversitesi;Vakıf
Ankara;Lokman Hekim Üniversitesi;Vakıf
Ankara;Ostim Teknik Üniversitesi;Vakıf
Ankara;TED Üniversitesi;Vakıf
Ankara;TOBB Ekonomi ve Teknoloji Üniversitesi;Vakıf
Ankara;Ufuk Üniversitesi;Vakıf
Ankara;Türk Hava Kurumu Üniversitesi;Vakıf
Ankara;Yüksek İhtisas Üniversitesi;Vakıf
Antalya;Akdeniz Üniversitesi;Devlet
Antalya;Alanya Alaaddin Keykubat Üniversitesi;Devlet
Antalya;Alanya Üniversitesi;Vakıf
Antalya;Antalya Belek Üniversitesi;Vakıf
Antalya;Antalya Bilim Üniversitesi;Vakıf
Ardahan;Ardahan Üniversitesi;Devlet
Artvin;Artvin Çoruh Üniversitesi;Devlet
Aydın;Aydın Adnan Menderes Üniversitesi;Devlet
Balıkesir;Balıkesir Üniversitesi;Devlet
Balıkesir;Bandırma Onyedi Eylül Üniversitesi;Devlet
Bartın;Bartın Üniversitesi;Devlet
Batman;Batman Üniversitesi;Devlet
Bayburt;Bayburt Üniversitesi;Devlet
Bilecik;Bilecik Şeyh Edebali Üniversitesi;Devlet
Bingöl;Bingöl Üniversitesi;Devlet
Bitlis;Bitlis Eren Üniversitesi;Devlet
Bolu;Bolu Abant İzzet Baysal Üniversitesi;Devlet
Burdur;Burdur Mehmet Akif Ersoy Üniversitesi;Devlet
Bursa;Bursa Teknik Üniversitesi;Devlet
Bursa;Bursa Uludağ Üniversitesi;Devlet
Bursa;Mudanya Üniversitesi;Vakıf
Çanakkale;Çanakkale Onsekiz Mart Üniversitesi;Devlet
Çankırı;Çankırı Karatekin Üniversitesi;Devlet
Çorum;Hitit Üniversitesi;Devlet
Denizli;Pamukkale Üniversitesi;Devlet
Diyarbakır;Dicle Üniversitesi;Devlet
Düzce;Düzce Üniversitesi;Devlet
Edirne;Trakya Üniversitesi;Devlet
Elazığ;Fırat Üniversitesi;Devlet
Erzincan;Erzincan Binali Yıldırım Üniversitesi;Devlet
Erzurum;Atatürk Üniversitesi;Devlet
Erzurum;Erzurum Teknik Üniversitesi;Devlet
Eskişehir;Anadolu Üniversitesi;Devlet
Eskişehir;Eskişehir Osmangazi Üniversitesi;Devlet
Eskişehir;Eskişehir Teknik Üniversitesi;Devlet
Gaziantep;Gaziantep Üniversitesi;Devlet
Gaziantep;Gaziantep İslam Bilim ve Teknoloji Üniversitesi;Devlet
Gaziantep;Hasan Kalyoncu Üniversitesi;Vakıf
Gaziantep;Sanko Üniversitesi;Vakıf
Giresun;Giresun Üniversitesi;Devlet
Gümüşhane;Gümüşhane Üniversitesi;Devlet
Hakkâri;Hakkari Üniversitesi;Devlet
Hatay;İskenderun Teknik Üniversitesi;Devlet
Hatay;Hatay Mustafa Kemal Üniversitesi;Devlet
Iğdır;Iğdır Üniversitesi;Devlet
Isparta;Süleyman Demirel Üniversitesi;Devlet
Isparta;Isparta Uygulamalı Bilimler Üniversitesi;Devlet
İstanbul;Boğaziçi Üniversitesi;Devlet
İstanbul;Galatasaray Üniversitesi;Devlet
İstanbul;İstanbul Medeniyet Üniversitesi;Devlet
İstanbul;İstanbul Teknik Üniversitesi;Devlet
İstanbul;İstanbul Üniversitesi;Devlet
İstanbul;İstanbul Üniversitesi-Cerrahpaşa;Devlet
İstanbul;Marmara Üniversitesi;Devlet
İstanbul;Milli Savunma Üniversitesi (Askerî);Devlet
İstanbul;Mimar Sinan Güzel Sanatlar Üniversitesi;Devlet
İstanbul;Türk-Alman Üniversitesi;Devlet
İstanbul;Türk-Japon Bilim ve Teknoloji Üniversitesi;Devlet
İstanbul;Sağlık Bilimleri Üniversitesi;Devlet
İstanbul;Yıldız Teknik Üniversitesi;Devlet
İstanbul;Acıbadem Üniversitesi;Vakıf
İstanbul;Altınbaş Üniversitesi;Vakıf
İstanbul;Bahçeşehir Üniversitesi;Vakıf
İstanbul;Beykoz Üniversitesi;Vakıf
İstanbul;Bezmialem Vakıf Üniversitesi;Vakıf
İstanbul;Biruni Üniversitesi;Vakıf
İstanbul;Demiroğlu Bilim Üniversitesi;Vakıf
İstanbul;Doğuş Üniversitesi;Vakıf
İstanbul;Fatih Sultan Mehmet Üniversitesi;Vakıf
İstanbul;Fenerbahçe Üniversitesi;Vakıf
İstanbul;Haliç Üniversitesi;Vakıf
İstanbul;Işık Üniversitesi;Vakıf
İstanbul;İbn Haldun Üniversitesi;Vakıf
İstanbul;İstanbul 29 Mayıs Üniversitesi;Vakıf
İstanbul;İstanbul Arel Üniversitesi;Vakıf
İstanbul;İstanbul Atlas Üniversitesi;Vakıf
İstanbul;İstanbul Aydın Üniversitesi;Vakıf
İstanbul;İstanbul Beykent Üniversitesi;Vakıf
İstanbul;İstanbul Bilgi Üniversitesi;Vakıf
İstanbul;İstanbul Esenyurt Üniversitesi;Vakıf
İstanbul;İstanbul Galata Üniversitesi;Vakıf
İstanbul;İstanbul Gedik Üniversitesi;Vakıf
İstanbul;İstanbul Gelişim Üniversitesi;Vakıf
İstanbul;İstanbul Kent Üniversitesi;Vakıf
İstanbul;İstanbul Kültür Üniversitesi;Vakıf
İstanbul;İstanbul Medipol Üniversitesi;Vakıf
İstanbul;İstanbul Nişantaşı Üniversitesi;Vakıf
İstanbul;İstanbul Okan Üniversitesi;Vakıf
İstanbul;İstanbul Rumeli Üniversitesi;Vakıf
İstanbul;İstanbul Sabahattin Zaim Üniversitesi;Vakıf
İstanbul;İstanbul Sağlık ve Teknoloji Üniversitesi;Vakıf
İstanbul;İstanbul Ticaret Üniversitesi;Vakıf
İstanbul;İstanbul Topkapı Üniversitesi;Vakıf
İstanbul;İstanbul Yeni Yüzyıl Üniversitesi;Vakıf
İstanbul;İstinye Üniversitesi;Vakıf
İstanbul;Kadir Has Üniversitesi;Vakıf
İstanbul;Koç Üniversitesi;Vakıf
İstanbul;Maltepe Üniversitesi;Vakıf
İstanbul;MEF Üniversitesi;Vakıf
İstanbul;Özyeğin Üniversitesi;Vakıf
İstanbul;Piri Reis Üniversitesi;Vakıf
İstanbul;Sabancı Üniversitesi;Vakıf
İstanbul;Üsküdar Üniversitesi;Vakıf
İstanbul;Yeditepe Üniversitesi;Vakıf
İzmir;Dokuz Eylül Üniversitesi;Devlet
İzmir;Ege Üniversitesi;Devlet
İzmir;İzmir Yüksek Teknoloji Enstitüsü;Devlet
İzmir;İzmir Kâtip Çelebi Üniversitesi;Devlet
İzmir;İzmir Bakırçay Üniversitesi;Devlet
İzmir;İzmir Demokrasi Üniversitesi;Devlet
İzmir;İzmir Ekonomi Üniversitesi;Vakıf
İzmir;İzmir Tınaztepe Üniversitesi;Vakıf
İzmir;Yaşar Üniversitesi;Vakıf
Kahramanmaraş;Kahramanmaraş Sütçü İmam Üniversitesi;Devlet
Kahramanmaraş;Kahramanmaraş İstiklal Üniversitesi;Devlet
Karabük;Karabük Üniversitesi;Devlet
Karaman;Karamanoğlu Mehmetbey Üniversitesi;Devlet
Kars;Kafkas Üniversitesi;Devlet
Kastamonu;Kastamonu Üniversitesi;Devlet
Kayseri;Abdullah Gül Üniversitesi;Devlet
Kayseri;Erciyes Üniversitesi;Devlet
Kayseri;Kayseri Üniversitesi;Devlet
Kayseri;Nuh Naci Yazgan Üniversitesi;Vakıf
Kırıkkale;Kırıkkale Üniversitesi;Devlet
Kırklareli;Kırklareli Üniversitesi;Devlet
Kırşehir;Kırşehir Ahi Evran Üniversitesi;Devlet
Kilis;Kilis 7 Aralık Üniversitesi;Devlet
Kocaeli;Gebze Teknik Üniversitesi;Devlet
Kocaeli;Kocaeli Üniversitesi;Devlet
Kocaeli;Kocaeli Sağlık ve Teknoloji Üniversitesi;Vakıf
Konya;Konya Teknik Üniversitesi;Devlet
Konya;Necmettin Erbakan Üniversitesi;Devlet
Konya;Selçuk Üniversitesi;Devlet
Konya;Konya Gıda ve Tarım Üniversitesi;Vakıf
Konya;KTO Karatay Üniversitesi;Vakıf
Kütahya;Kütahya Dumlupınar Üniversitesi;Devlet
Kütahya;Kütahya Sağlık Bilimleri Üniversitesi;Devlet
Malatya;İnönü Üniversitesi;Devlet
Malatya;Malatya Turgut Özal Üniversitesi;Devlet
Manisa;Manisa Celal Bayar Üniversitesi;Devlet
Mardin;Mardin Artuklu Üniversitesi;Devlet
Mersin;Mersin Üniversitesi;Devlet
Mersin;Tarsus Üniversitesi;Devlet
Mersin;Çağ Üniversitesi;Vakıf
Mersin;Toros Üniversitesi;Vakıf
Muğla;Muğla Sıtkı Koçman Üniversitesi;Devlet
Muş;Muş Alparslan Üniversitesi;Devlet
Nevşehir;Nevşehir Hacı Bektaş Veli Üniversitesi;Devlet
Nevşehir;Kapadokya Üniversitesi;Vakıf
Niğde;Niğde Ömer Halisdemir Üniversitesi;Devlet
Ordu;Ordu Üniversitesi;Devlet
Osmaniye;Osmaniye Korkut Ata Üniversitesi;Devlet
Rize;Recep Tayyip Erdoğan Üniversitesi;Devlet
Sakarya;Sakarya Üniversitesi;Devlet
Sakarya;Sakarya Uygulamalı Bilimler Üniversitesi;Devlet
Samsun;Ondokuz Mayıs Üniversitesi;Devlet
Samsun;Samsun Üniversitesi;Devlet
Siirt;Siirt Üniversitesi;Devlet
Sinop;Sinop Üniversitesi;Devlet
Sivas;Sivas Cumhuriyet Üniversitesi;Devlet
Sivas;Sivas Bilim ve Teknoloji Üniversitesi;Devlet
Şanlıurfa;Harran Üniversitesi;Devlet
Şırnak;Şırnak Üniversitesi;Devlet
Tekirdağ;Tekirdağ Namık Kemal Üniversitesi;Devlet
Tokat;Tokat Gaziosmanpaşa Üniversitesi;Devlet
Trabzon;Karadeniz Teknik Üniversitesi;Devlet
Trabzon;Trabzon Üniversitesi;Devlet
Trabzon;Avrasya Üniversitesi;Vakıf
Tunceli;Munzur Üniversitesi;Devlet
Uşak;Uşak Üniversitesi;Devlet
Van;Van Yüzüncü Yıl Üniversitesi;Devlet
Yalova;Yalova Üniversitesi;Devlet
Yozgat;Yozgat Bozok Üniversitesi;Devlet
Zonguldak;Zonguldak Bülent Ecevit Üniversitesi;Devlet
İstanbul;İstanbul Sağlık ve Sosyal Bilimler Meslek Yüksekokulu;Vakıf
İstanbul;Ataşehir Adıgüzel Meslek Yüksekokulu;Vakıf
İstanbul;İstanbul Şişli Meslek Yüksekokulu;Vakıf
İzmir;İzmir Kavram Meslek Yüksekokulu;Vakıf
